Step,Count,Mean_X,Mean_Y,Mean_Z,Std_X,Std_Y,Std_Z,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z
1,24,9.38,3.06,0.62,0.0,0.0,0.07,9.38,3.06,0.5,9.38,3.06,0.73
2,24,9.38,3.06,0.86,0.0,0.0,0.07,9.38,3.06,0.74,9.38,3.06,0.97
3,24,9.38,3.06,1.1,0.0,0.0,0.07,9.38,3.06,0.98,9.38,3.06,1.21
4,24,9.38,3.06,1.34,0.0,0.0,0.07,9.38,3.06,1.22,9.38,3.06,1.45
5,24,9.38,3.06,1.58,0.0,0.0,0.07,9.38,3.06,1.46,9.38,3.06,1.69
6,24,9.38,3.06,1.82,0.0,0.0,0.07,9.38,3.06,1.7,9.38,3.06,1.93
7,148,8.58,5.62,1.08,0.0,0.0,0.43,8.57,5.62,0.35,8.57,5.62,1.82
8,221,8.04,5.12,1.18,0.64,0.0,0.48,6.94,5.12,0.35,9.14,5.12,2.0
9,251,1.62,5.84,1.18,0.72,0.0,0.68,0.38,5.84,0.0,2.88,5.84,2.35
10,24,0.0,3.06,1.1,0.0,0.0,0.07,0.0,3.06,0.98,0.0,3.06,1.21
11,24,0.0,3.06,1.34,0.0,0.0,0.07,0.0,3.06,1.22,0.0,3.06,1.45
12,24,0.0,3.06,1.58,0.0,0.0,0.07,0.0,3.06,1.46,0.0,3.06,1.69
13,24,0.0,3.06,1.82,0.0,0.0,0.07,0.0,3.06,1.7,0.0,3.06,1.93
